Time_sec,Temperature_degC
20.2,19.56
20.25,19.07
20.3,19.07
20.35,19.07
20.4,19.07
20.45,19.07
20.5,19.07
20.55,19.07
20.6,19.07
20.651,19.07
20.7,19.07
20.75,19.07
20.8,19.07
20.85,19.07
20.9,19.07
20.95,19.07
21,19.07
21.05,19.07
21.1,19.07
21.15,19.07
21.2,19.07
21.25,19.07
21.3,19.07
21.35,19.07
21.4,19.07
21.45,19.07
21.5,19.07
21.55,19.07
21.6,19.07
21.65,19.07
21.7,19.07
21.75,19.07
21.8,19.07
21.85,19.07
21.9,19.07
21.95,19.07
22,19.07
22.05,19.07
22.1,19.07
22.15,19.07
22.2,19.07
22.25,19.07
22.3,19.07
22.35,19.07
22.4,19.07
22.45,19.07
22.5,19.07
22.55,19.07
22.6,19.07
22.65,19.07
22.7,19.07
22.75,19.56
22.8,19.07
22.85,19.07
22.9,19.56
22.95,19.07
23,19.07
23.05,19.07
23.1,19.07
23.15,19.07
23.2,19.07
23.25,19.07
23.3,19.07
23.35,19.07
23.4,19.07
23.45,19.07
23.5,19.07
23.55,19.07
23.6,19.07
23.65,19.07
23.7,19.07
23.75,19.07
23.8,19.07
23.851,19.07
23.9,19.07
23.95,19.07
24,19.07
24.05,19.07
24.1,19.07
24.15,19.07
24.2,19.07
24.25,19.07
24.3,19.07
24.35,19.07
24.4,19.07
24.45,19.07
24.5,19.07
24.55,19.07
24.6,19.07
24.65,19.07
24.7,19.07
24.75,19.07
24.8,19.07
24.85,19.07
24.9,19.07
24.95,19.07
25,19.07
25.05,19.07
25.1,19.07
25.15,19.07
25.2,19.07
25.25,19.07
25.3,19.07
25.35,19.07
25.4,19.07
25.45,19.07
25.5,19.07
25.55,19.07
25.6,19.07
25.65,19.07
25.7,19.07
25.75,19.07
25.8,19.56
25.85,19.56
25.9,19.07
25.95,19.56
26,19.07
26.05,19.07
26.1,19.07
26.15,19.07
26.2,19.07
26.25,19.07
26.3,19.07
26.35,19.07
26.4,19.56
26.45,19.07
26.5,19.07
26.55,-61.57
26.6,-61.57
26.65,-61.57
26.7,19.56
26.75,19.07
26.8,19.07
26.85,19.07
26.9,19.07
26.95,19.07
27,19.07
27.051,19.07
27.1,19.07
27.15,19.07
27.2,19.07
27.25,19.07
27.3,19.07
27.35,19.07
27.4,19.07
27.45,19.07
27.5,19.07
27.55,19.07
27.6,19.07
27.65,19.07
27.7,19.07
27.75,19.07
27.8,19.07
27.85,19.07
27.9,19.07
27.95,19.07
28,19.07
28.05,19.07
28.1,19.07
28.15,19.07
28.2,19.07
28.25,19.07
28.3,19.07
28.35,19.07
28.4,19.07
28.45,19.07
28.5,19.07
28.55,19.07
28.6,19.07
28.65,19.07
28.7,19.07
28.75,-61.57
28.8,-61.57
28.85,-61.57
28.9,-61.57
28.95,19.56
29,19.07
29.05,19.07
29.1,19.56
29.15,19.07
29.2,19.07
29.25,19.07
29.3,19.07
29.35,19.07
29.4,19.07
29.45,19.07
29.5,19.07
29.55,19.07
29.6,19.07
29.65,19.07
29.7,19.07
29.75,19.07
29.8,19.07
29.85,19.56
29.9,19.07
29.95,19.07
30,19.07
30.05,19.07
30.1,19.07
30.15,19.07
30.2,19.07
30.251,19.07
30.3,19.07
30.35,19.07
30.4,19.07
30.45,19.07
30.5,19.07
30.55,19.07
30.6,19.07
30.65,19.07
30.7,19.07
30.75,19.07
30.8,19.07
30.85,19.07
30.9,19.07
30.95,19.07
31,19.07
31.05,19.07
31.1,19.07
31.15,19.07
31.2,19.07
31.25,19.07
31.3,19.07
31.35,19.07
31.4,19.07
31.45,19.07
31.5,19.07
31.55,19.07
31.6,19.07
31.65,19.07
31.7,19.07
31.75,19.07
31.8,19.07
31.85,19.07
31.9,19.07
31.95,19.07
32,19.07
32.05,19.07
32.1,19.07
32.15,19.07
32.2,19.07
32.25,19.07
32.3,19.07
32.35,19.07
32.4,19.07
32.45,19.07
32.5,19.07
32.55,19.07
32.6,19.07
32.65,19.07
32.7,19.07
32.75,19.07
32.8,19.07
32.85,19.07
32.9,19.07
32.95,19.07
33,19.07
33.05,19.07
33.1,19.07
33.15,19.07
33.2,19.07
33.25,19.07
33.3,19.07
33.35,19.07
33.4,19.07
33.451,19.07
33.5,19.07
33.55,19.07
33.6,19.07
33.65,19.07
33.7,19.07
33.75,18.58
33.8,19.07
33.85,19.07
33.9,19.07
33.95,19.07
34,19.07
34.05,19.07
34.1,19.07
34.15,19.07
34.2,19.07
34.25,19.07
34.3,19.07
34.35,19.07
34.4,19.07
34.45,19.07
34.5,19.07
34.55,19.07
34.6,19.07
34.65,19.07
34.7,19.07
34.75,19.07
34.8,19.07
34.85,19.07
34.9,19.07
34.95,19.07
35,19.07
35.05,19.07
35.1,19.07
35.15,19.07
35.2,19.07
35.25,19.07
35.3,19.07
35.35,19.07
35.4,19.07
35.45,19.07
35.5,19.07
35.55,19.07
35.6,19.07
35.65,19.07
35.7,19.07
35.75,19.07
35.8,19.07
35.85,19.07
35.9,19.07
35.95,19.07
36,19.07
36.05,18.58
36.1,19.07
36.15,19.07
36.2,19.07
36.25,19.07
36.3,19.07
36.35,19.07
36.4,19.07
36.45,19.07
36.5,19.07
36.55,19.07
36.6,19.07
36.651,19.07
36.7,19.07
36.75,19.07
36.8,19.07
36.85,19.07
36.9,19.07
36.95,19.07
37,19.07
37.05,19.07
37.1,19.07
37.15,19.07
37.2,19.07
37.25,19.07
37.3,19.07
37.35,19.07
37.4,19.07
37.45,19.07
37.5,19.07
37.55,19.07
37.6,19.07
37.65,19.07
37.7,19.07
37.75,19.07
37.8,19.07
37.85,19.07
37.9,19.07
37.95,19.56
38,19.56
38.05,19.56
38.1,19.07
38.15,19.56
38.2,19.56
38.25,19.07
38.3,19.56
38.35,19.07
38.4,19.56
38.45,19.07
38.5,19.07
38.55,19.07
38.6,19.07
38.65,19.07
38.7,19.07
38.75,19.07
38.8,19.07
38.85,19.07
38.9,19.07
38.95,19.07
39,19.07
39.05,19.07
39.1,19.07
39.15,19.07
39.2,19.07
