alt,temp R,presure lb/ft^2,density slug/ft^3,,
127,518.235118,2106.50164,0.002368074511,,
128,518.231552,2106.425418,0.002368005119,,
129,518.227986,2106.349198,0.002367935728,,
130,518.22442,2106.272981,0.002367866339,,
131,518.220854,2106.196766,0.002367796951,,
132,518.217288,2106.120553,0.002367727565,,
133,518.213722,2106.044342,0.00236765818,,
134,518.210156,2105.968133,0.002367588797,,
135,518.20659,2105.891927,0.002367519416,,
136,518.203024,2105.815723,0.002367450036,,
137,518.199458,2105.739521,0.002367380657,,
138,518.195892,2105.663321,0.002367311281,,
139,518.192326,2105.587124,0.002367241905,,
140,518.18876,2105.510929,0.002367172532,,
141,518.185194,2105.434736,0.002367103159,,
142,518.181628,2105.358545,0.002367033789,,
143,518.178062,2105.282357,0.00236696442,,
144,518.174496,2105.206171,0.002366895052,,
145,518.17093,2105.129987,0.002366825686,,
146,518.167364,2105.053805,0.002366756322,,
147,518.163798,2104.977625,0.002366686959,,
148,518.160232,2104.901448,0.002366617598,,
149,518.156666,2104.825273,0.002366548238,,
150,518.1531,2104.7491,0.00236647888,,
151,518.149534,2104.672929,0.002366409523,,
152,518.145968,2104.596761,0.002366340168,,
153,518.142402,2104.520595,0.002366270815,,
154,518.138836,2104.444431,0.002366201463,,
155,518.13527,2104.368269,0.002366132112,,
156,518.131704,2104.29211,0.002366062764,,
157,518.128138,2104.215953,0.002365993416,,
158,518.124572,2104.139798,0.002365924071,,
159,518.121006,2104.063645,0.002365854726,,
160,518.11744,2103.987495,0.002365785384,,
161,518.113874,2103.911346,0.002365716043,,
162,518.110308,2103.8352,0.002365646703,,
163,518.106742,2103.759056,0.002365577365,,
164,518.103176,2103.682915,0.002365508029,,
165,518.09961,2103.606776,0.002365438694,,
166,518.096044,2103.530638,0.002365369361,,
167,518.092478,2103.454504,0.002365300029,,
168,518.088912,2103.378371,0.002365230699,,
169,518.085346,2103.30224,0.00236516137,,
170,518.08178,2103.226112,0.002365092043,,
171,518.078214,2103.149986,0.002365022718,,
172,518.074648,2103.073863,0.002364953394,,
173,518.071082,2102.997741,0.002364884071,,
174,518.067516,2102.921622,0.002364814751,,
175,518.06395,2102.845505,0.002364745431,,
176,518.060384,2102.76939,0.002364676114,,
177,518.056818,2102.693277,0.002364606797,,
178,518.053252,2102.617167,0.002364537483,,
179,518.049686,2102.541059,0.00236446817,,
180,518.04612,2102.464953,0.002364398858,,
181,518.042554,2102.38885,0.002364329548,,
182,518.038988,2102.312748,0.00236426024,,
183,518.035422,2102.236649,0.002364190933,,
184,518.031856,2102.160552,0.002364121628,,
185,518.02829,2102.084457,0.002364052324,,
186,518.024724,2102.008365,0.002363983022,,
187,518.021158,2101.932274,0.002363913721,,
188,518.017592,2101.856186,0.002363844422,,
189,518.014026,2101.780101,0.002363775125,,
190,518.01046,2101.704017,0.002363705829,,
191,518.006894,2101.627936,0.002363636534,,
192,518.003328,2101.551857,0.002363567241,,
193,517.999762,2101.47578,0.00236349795,,
194,517.996196,2101.399705,0.00236342866,,
195,517.99263,2101.323633,0.002363359372,,
196,517.989064,2101.247563,0.002363290085,,
197,517.985498,2101.171495,0.0023632208,,
198,517.981932,2101.095429,0.002363151517,,
199,517.978366,2101.019365,0.002363082235,,
200,517.9748,2100.943304,0.002363012954,,
201,517.971234,2100.867245,0.002362943676,,
202,517.967668,2100.791188,0.002362874398,,
203,517.964102,2100.715134,0.002362805122,,
204,517.960536,2100.639081,0.002362735848,,
205,517.95697,2100.563031,0.002362666576,,
206,517.953404,2100.486983,0.002362597304,,
207,517.949838,2100.410938,0.002362528035,,
208,517.946272,2100.334894,0.002362458767,,
209,517.942706,2100.258853,0.002362389501,,
210,517.93914,2100.182814,0.002362320236,,
211,517.935574,2100.106777,0.002362250972,,
212,517.932008,2100.030743,0.002362181711,,
213,517.928442,2099.954711,0.00236211245,,
214,517.924876,2099.878681,0.002362043192,,
215,517.92131,2099.802653,0.002361973935,,
216,517.917744,2099.726627,0.002361904679,,
217,517.914178,2099.650604,0.002361835425,,
218,517.910612,2099.574583,0.002361766173,,
219,517.907046,2099.498564,0.002361696922,,
220,517.90348,2099.422547,0.002361627672,,
221,517.899914,2099.346533,0.002361558424,,
222,517.896348,2099.27052,0.002361489178,,
223,517.892782,2099.19451,0.002361419934,,
224,517.889216,2099.118503,0.00236135069,,
225,517.88565,2099.042497,0.002361281449,,
226,517.882084,2098.966494,0.002361212209,,
227,517.878518,2098.890493,0.00236114297,,
228,517.874952,2098.814494,0.002361073733,,
229,517.871386,2098.738497,0.002361004498,,
230,517.86782,2098.662503,0.002360935264,,
231,517.864254,2098.586511,0.002360866032,,
232,517.860688,2098.510521,0.002360796801,,
233,517.857122,2098.434533,0.002360727572,,
234,517.853556,2098.358548,0.002360658345,,
