Time_sec,Temperature_degC,,,start temp,7.088235294
0,7.5,,,end temp,26.01851852
0.25,7.5,,,temp at tau,19.0544565
0.5,7.5,,,tau + start,14.98891027
0.75,7.5,,,start time,13
1,7.5,,,tau,1.988910268
1.25,7.5,,,,
1.5,7.5,,,,
1.75,7.5,,,,
2,7.25,,,,
2.25,7.5,,,,
2.5,7.25,,,,
2.75,7.25,,,,
3,7.25,,,,
3.25,7.25,,,,
3.5,7.25,,,,
3.75,7.25,,,,
4,7.25,,,,
4.25,7.25,,,,
4.5,7.25,,,,
4.75,7,,,,
5,7.25,,,,
5.25,7,,,,
5.5,7,,,,
5.75,7,,,,
6,7,,,,
6.25,7,,,,
6.5,7,,,,
6.75,7,,,,
7,7,,,,
7.25,7,,,,
7.5,7,,,,
7.75,7,,,,
8,7,,,,
8.25,7,,,,
8.5,7,,,,
8.75,7,,,,
9,7,,,,
9.25,7,,,,
9.5,6.75,,,,
9.75,6.75,,,,
10,7,,,,
10.25,6.75,,,,
10.5,6.75,,,,
10.75,6.75,,,,
11,6.75,,,,
11.25,7,,,,
11.5,6.75,,,,
11.75,6.75,,,,
12,6.75,,,,
12.25,6.75,,,,
12.5,6.75,,,,
12.75,6.5,,,,
13,6.25,,,,
13.25,6.75,,,,
13.5,9,,,,
13.75,12,,,,
14,15,,,,
14.25,16.25,,,,
14.5,17.75,,,,
14.75,18.5,,,,
15,19,,,,
15.251,19.75,,,,
15.5,20,,,,
15.75,20.25,,,,
16,20.25,,,,
16.25,20.5,,,,
16.5,20.75,,,,
16.75,21,,,,
17,21,,,,
17.25,21.5,,,,
17.5,21.5,,,,
17.75,22,,,,
18,22.5,,,,
18.25,22.75,,,,
18.5,23,,,,
18.75,23.25,,,,
19,23.25,,,,
19.25,23.5,,,,
19.5,23.75,,,,
19.75,23.75,,,,
20,23.75,,,,
20.25,24,,,,
20.5,24,,,,
20.75,24,,,,
21,24.25,,,,
21.25,24.25,,,,
21.5,24.25,,,,
21.75,24.5,,,,
22,24.5,,,,
22.25,24.5,,,,
22.5,24.5,,,,
22.75,24.5,,,,
23,24.75,,,,
23.25,24.75,,,,
23.5,24.75,,,,
23.75,24.75,,,,
24,24.75,,,,
24.25,24.75,,,,
24.5,24.75,,,,
24.75,24.75,,,,
25,24.75,,,,
25.25,24.75,,,,
25.5,25,,,,
25.75,25,,,,
26,25,,,,
26.25,25,,,,
26.5,25,,,,
26.75,25,,,,
27,25,,,,
27.25,25,,,,
27.5,25.25,,,,
27.75,25.25,,,,
28,25.25,,,,
28.25,25.25,,,,
28.5,25.25,,,,
28.75,25.25,,,,
29,25.25,,,,
29.25,25.5,,,,
29.5,25.5,,,,
29.75,25.5,,,,
30,25.5,,,,
30.25,25.5,,,,
30.5,25.5,,,,
30.75,25.5,,,,
31,25.5,,,,
31.251,25.5,,,,
31.5,25.5,,,,
31.75,25.5,,,,
32,25.5,,,,
32.25,25.75,,,,
32.5,25.75,,,,
32.75,25.75,,,,
33,25.75,,,,
33.25,25.75,,,,
33.5,25.75,,,,
33.75,25.75,,,,
34,25.75,,,,
34.25,25.75,,,,
34.5,25.75,,,,
34.75,26,,,,
35,25.75,,,,
35.25,25.75,,,,
35.5,26,,,,
35.75,25.75,,,,
36,26,,,,
36.25,26,,,,
36.5,26,,,,
36.75,26,,,,
37,26,,,,
37.25,26,,,,
37.5,26,,,,
37.75,26,,,,
38,26,,,,
38.25,26,,,,
38.5,26,,,,
38.75,26,,,,
39,26,,,,
39.25,26,,,,
39.5,26,,,,
39.75,26,,,,
40,26,,,,
40.25,26,,,,
40.5,26,,,,
40.75,26.25,,,,
41,26,,,,
41.25,26.25,,,,
41.5,26,,,,
41.75,26,,,,
42,26,,,,
42.25,26,,,,
42.5,26,,,,
42.75,26,,,,
43,26.25,,,,
43.25,26.25,,,,
43.5,26,,,,
43.75,26.25,,,,
44,26.25,,,,
44.25,26.25,,,,
44.5,26.25,,,,
44.75,26.25,,,,
45,26.25,,,,
45.25,26.5,,,,
45.5,26.25,,,,
45.75,26.25,,,,
46,26.25,,,,
46.25,26.25,,,,
46.5,26.5,,,,
46.75,26.5,,,,
47,26.25,,,,
47.251,26.25,,,,
47.5,26.5,,,,
47.75,26.5,,,,
48,26.25,,,,
48.25,26.5,,,,
48.5,26.25,,,,
48.75,26.5,,,,
49,26.5,,,,
49.25,26.5,,,,
49.5,26.5,,,,
49.75,26.5,,,,
50,26.5,,,,
50.25,26.5,,,,
50.5,26.25,,,,
50.75,26.5,,,,
51,26.5,,,,
51.25,26.5,,,,
51.5,26.25,,,,
51.75,26.5,,,,
52,26.5,,,,
52.25,26.5,,,,
52.5,26.5,,,,
52.75,26.5,,,,
53,26.5,,,,
53.25,26.5,,,,
53.5,26.5,,,,
53.75,26.5,,,,
54,26.5,,,,
54.25,26.5,,,,
54.5,26.5,,,,
54.75,26.5,,,,
55,26.5,,,,
55.25,26.5,,,,
55.5,26.5,,,,
55.75,26.5,,,,
56,26.5,,,,
56.25,26.5,,,,
56.5,26.5,,,,
56.75,26.5,,,,
57,26.5,,,,
57.25,26.25,,,,
57.5,26.5,,,,
57.75,26.5,,,,
58,26.5,,,,
58.25,26.5,,,,
58.5,26.5,,,,
58.75,26.5,,,,
59,26.5,,,,
59.25,26.5,,,,
59.5,26.5,,,,
59.75,26.5,,,,
60,26.5,,,,
60.25,26.5,,,,
60.5,26.5,,,,
60.75,26.5,,,,
61,26.5,,,,
61.25,26.5,,,,
61.5,26.5,,,,
61.75,26.5,,,,
62,26.5,,,,
62.25,26.5,,,,
62.5,26.5,,,,
62.75,26.5,,,,
63,26.5,,,,
63.251,26.5,,,,
63.5,26.5,,,,
