Time_sec,Temperature_degC,,,start temp,92.42977528
1,91.5,,,end temp,8.482142857
1.25,91.75,,,temp at tau,39.36475096
1.5,92,,,tau + start,24.23723701
1.75,92.25,,,start time,23.25
2,92,,,tau,0.987237012
2.25,91.75,,,,
2.5,91.75,,,,
2.75,91.75,,,,
3,91.5,,,,
3.25,91.5,,,,
3.5,91.25,,,,
3.75,91.25,,,,
4,91.25,,,,
4.25,91.25,,,,
4.5,91.25,,,,
4.75,91,,,,
5,91,,,,
5.25,91,,,,
5.5,91.25,,,,
5.75,91.25,,,,
6,91.25,,,,
6.25,91.5,,,,
6.5,91.75,,,,
6.75,92,,,,
7,92.25,,,,
7.25,92.25,,,,
7.5,92.25,,,,
7.75,92.5,,,,
8,92.5,,,,
8.25,92.75,,,,
8.5,92.75,,,,
8.75,92.75,,,,
9,92.75,,,,
9.25,93,,,,
9.5,93,,,,
9.75,93,,,,
10,93.25,,,,
10.25,93,,,,
10.5,93,,,,
10.75,92.75,,,,
11,92.5,,,,
11.25,92.5,,,,
11.5,92.5,,,,
11.75,92.5,,,,
12,92.5,,,,
12.25,92.75,,,,
12.5,92.75,,,,
12.75,92.5,,,,
13,92.75,,,,
13.25,92.75,,,,
13.5,92.5,,,,
13.75,92.5,,,,
14,92.5,,,,
14.251,92.5,,,,
14.5,92.75,,,,
14.75,92.5,,,,
15,92.5,,,,
15.25,92.5,,,,
15.5,92.5,,,,
15.75,92.25,,,,
16,92.25,,,,
16.25,92.25,,,,
16.5,92,,,,
16.75,92.25,,,,
17,92.5,,,,
17.25,92.5,,,,
17.5,92.75,,,,
17.75,93,,,,
18,93.25,,,,
18.25,93.5,,,,
18.5,93.5,,,,
18.75,93.25,,,,
19,93.25,,,,
19.25,93,,,,
19.5,93.25,,,,
19.75,93.25,,,,
20,93.25,,,,
20.25,93.25,,,,
20.5,93,,,,
20.75,93,,,,
21,93,,,,
21.25,93,,,,
21.5,93,,,,
21.75,93,,,,
22,93,,,,
22.25,93,,,,
22.5,93,,,,
22.75,93,,,,
23,93.25,,,,
23.25,91.25,,,,
23.5,85.25,,,,
23.75,82.25,,,,
24,79.5,,,,
24.25,29.75,,,,
24.5,16,,,,
24.75,11.75,,,,
25,11,,,,
25.25,11.25,,,,
25.5,11.5,,,,
25.75,12,,,,
26,12.5,,,,
26.25,12.75,,,,
26.5,13,,,,
26.75,13,,,,
27,13.25,,,,
27.25,13.25,,,,
27.5,13.25,,,,
27.75,13.25,,,,
28,13.25,,,,
28.25,13.25,,,,
28.5,13,,,,
28.75,13,,,,
29,13,,,,
29.25,13,,,,
29.5,12.75,,,,
29.75,12.75,,,,
30,12.75,,,,
30.251,12.5,,,,
30.5,12.5,,,,
30.75,12.5,,,,
31,12.5,,,,
31.25,12.25,,,,
31.5,12.25,,,,
31.75,12.25,,,,
32,12,,,,
32.25,12,,,,
32.5,11.75,,,,
32.75,11.75,,,,
33,11.75,,,,
33.25,11.5,,,,
33.5,11.5,,,,
33.75,11.5,,,,
34,11.25,,,,
34.25,11.25,,,,
34.5,11.25,,,,
34.75,11,,,,
35,11,,,,
35.25,11,,,,
35.5,10.75,,,,
35.75,10.75,,,,
36,10.5,,,,
36.25,10.5,,,,
36.5,10.5,,,,
36.75,10.25,,,,
37,10.25,,,,
37.25,10.25,,,,
37.5,10.25,,,,
37.75,10.25,,,,
38,10,,,,
38.25,10,,,,
38.5,10,,,,
38.75,9.75,,,,
39,9.75,,,,
39.25,9.75,,,,
39.5,9.75,,,,
39.75,9.75,,,,
40,9.75,,,,
40.25,9.75,,,,
40.5,9.5,,,,
40.75,9.5,,,,
41,9.5,,,,
41.25,9.5,,,,
41.5,9.5,,,,
41.75,9.25,,,,
42,9.25,,,,
42.25,9.25,,,,
42.5,9.25,,,,
42.75,9.25,,,,
43,9.25,,,,
43.25,9.25,,,,
43.5,9,,,,
43.75,9,,,,
44,9,,,,
44.25,9,,,,
44.5,9,,,,
44.75,8.75,,,,
45,8.75,,,,
45.25,8.75,,,,
45.5,8.75,,,,
45.75,8.75,,,,
46,8.75,,,,
46.251,8.75,,,,
46.5,8.75,,,,
46.75,8.5,,,,
47,8.5,,,,
47.25,8.5,,,,
47.5,8.5,,,,
47.75,8.5,,,,
48,8.5,,,,
48.25,8.5,,,,
48.5,8.5,,,,
48.75,8.5,,,,
49,8.5,,,,
49.25,8.5,,,,
49.5,8.25,,,,
49.75,8.5,,,,
50,8.25,,,,
50.25,8.25,,,,
50.5,8.25,,,,
50.75,8.25,,,,
51,8.25,,,,
51.25,8.25,,,,
51.5,8.25,,,,
51.75,8.25,,,,
52,8.25,,,,
52.25,8.25,,,,
52.5,8,,,,
52.75,8,,,,
53,8,,,,
53.25,8,,,,
53.5,8,,,,
53.75,8,,,,
54,8,,,,
54.25,8,,,,
54.5,8,,,,
54.75,8,,,,
55,8,,,,
55.25,8,,,,
55.5,8,,,,
55.75,7.75,,,,
56,7.75,,,,
56.25,7.75,,,,
56.5,7.75,,,,
56.75,7.75,,,,
57,7.75,,,,
57.25,7.75,,,,
57.5,7.75,,,,
57.75,7.75,,,,
58,7.75,,,,
58.25,7.75,,,,
58.5,7.75,,,,
58.75,7.75,,,,
59,7.75,,,,
59.25,7.75,,,,
59.5,7.75,,,,
59.75,7.75,,,,
60,7.75,,,,
60.25,7.75,,,,
60.5,7.75,,,,
60.75,7.5,,,,
61,7.75,,,,
61.25,7.75,,,,
61.5,7.75,,,,
61.75,7.75,,,,
62,7.75,,,,
62.251,7.75,,,,
