Time_sec,Temperature_degC,,,start temp,6.599137931
1,6.5,,,end temp,90.62301587
1.25,6.5,,,temp at tau,59.71235861
1.5,6.5,,,tau + start,17.05308965
1.75,6.5,,,start time,15
2,6.5,,,tau,2.053089653
2.25,6.5,,,,
2.5,6.5,,,,
2.75,6.5,,,,
3,6.5,,,,
3.25,6.5,,,,
3.5,6.5,,,,
3.75,6.5,,,,
4,6.5,,,,
4.25,6.5,,,,
4.5,6.5,,,,
4.75,6.5,,,,
5,6.5,,,,
5.25,6.75,,,,
5.5,6.5,,,,
5.75,6.5,,,,
6,6.5,,,,
6.25,6.75,,,,
6.5,6.75,,,,
6.75,6.5,,,,
7,6.5,,,,
7.25,6.75,,,,
7.5,6.5,,,,
7.75,6.75,,,,
8,6.75,,,,
8.25,6.75,,,,
8.5,6.5,,,,
8.75,6.75,,,,
9,6.5,,,,
9.25,6.75,,,,
9.5,6.5,,,,
9.75,6.5,,,,
10,6.75,,,,
10.25,6.75,,,,
10.5,6.75,,,,
10.75,6.5,,,,
11,6.5,,,,
11.25,6.75,,,,
11.5,6.75,,,,
11.75,6.5,,,,
12,6.75,,,,
12.25,6.75,,,,
12.5,6.75,,,,
12.75,6.75,,,,
13,6.75,,,,
13.25,6.75,,,,
13.5,6.75,,,,
13.75,6.75,,,,
14,6.5,,,,
14.251,6.5,,,,
14.5,6.5,,,,
14.75,6.5,,,,
15,6.5,,,,
15.25,6.75,,,,
15.5,10.25,,,,
15.75,18.25,,,,
16,23.75,,,,
16.25,29,,,,
16.5,35.5,,,,
16.75,40,,,,
17,44,,,,
17.25,48.5,,,,
17.5,51.25,,,,
17.75,53.75,,,,
18,57,,,,
18.25,59,,,,
18.5,61.5,,,,
18.75,63.25,,,,
19,64.75,,,,
19.25,66.75,,,,
19.5,68.25,,,,
19.75,69.5,,,,
20,71,,,,
20.25,72.25,,,,
20.5,73.25,,,,
20.75,74.5,,,,
21,75.5,,,,
21.25,76.5,,,,
21.5,77.25,,,,
21.75,78,,,,
22,78.75,,,,
22.25,79.25,,,,
22.5,80,,,,
22.75,80.75,,,,
23,81,,,,
23.25,81.5,,,,
23.5,82,,,,
23.75,82.5,,,,
24,83,,,,
24.25,83.25,,,,
24.5,83.5,,,,
24.75,84,,,,
25,84.25,,,,
25.25,84.5,,,,
25.5,84.75,,,,
25.75,85,,,,
26,85.25,,,,
26.25,85.25,,,,
26.5,85.5,,,,
26.75,85.75,,,,
27,86,,,,
27.25,86.25,,,,
27.5,86.25,,,,
27.75,86.5,,,,
28,86.5,,,,
28.25,86.75,,,,
28.5,87,,,,
28.75,87,,,,
29,87.25,,,,
29.25,87.25,,,,
29.5,87.5,,,,
29.75,87.5,,,,
30,87.75,,,,
30.251,87.75,,,,
30.5,88,,,,
30.75,88,,,,
31,88,,,,
31.25,88.25,,,,
31.5,88.25,,,,
31.75,88.5,,,,
32,88.5,,,,
32.25,88.75,,,,
32.5,88.75,,,,
32.75,89,,,,
33,89,,,,
33.25,89,,,,
33.5,89.25,,,,
33.75,89.25,,,,
34,89.25,,,,
34.25,89.25,,,,
34.5,89.25,,,,
34.75,89.25,,,,
35,89.25,,,,
35.25,89.25,,,,
35.5,89.5,,,,
35.75,89.25,,,,
36,89.25,,,,
36.25,89.25,,,,
36.5,89.25,,,,
36.75,89.5,,,,
37,89.5,,,,
37.25,89.5,,,,
37.5,89.5,,,,
37.75,89.5,,,,
38,89.5,,,,
38.25,89.5,,,,
38.5,89.5,,,,
38.75,89.5,,,,
39,89.5,,,,
39.25,89.5,,,,
39.5,89.75,,,,
39.75,89.75,,,,
40,89.75,,,,
40.25,89.75,,,,
40.5,89.75,,,,
40.75,89.75,,,,
41,90,,,,
41.25,90,,,,
41.5,89.75,,,,
41.75,90,,,,
42,90,,,,
42.25,90,,,,
42.5,89.75,,,,
42.75,89.75,,,,
43,90,,,,
43.25,90,,,,
43.5,90,,,,
43.75,90,,,,
44,90,,,,
44.25,90,,,,
44.5,90,,,,
44.75,90,,,,
45,90,,,,
45.25,90,,,,
45.5,90,,,,
45.75,90,,,,
46,90,,,,
46.251,90,,,,
46.5,90.25,,,,
46.75,90.25,,,,
47,90.25,,,,
47.25,90.25,,,,
47.5,90.25,,,,
47.75,90.25,,,,
48,90.25,,,,
48.25,90.25,,,,
48.5,90.25,,,,
48.75,90.25,,,,
49,90.25,,,,
49.25,90.25,,,,
49.5,90.25,,,,
49.75,90.25,,,,
50,90.25,,,,
50.25,90.25,,,,
50.5,90.5,,,,
50.75,90.5,,,,
51,90.25,,,,
51.25,90.5,,,,
51.5,90.5,,,,
51.75,90.5,,,,
52,90.5,,,,
52.25,90.5,,,,
52.5,90.5,,,,
52.75,90.5,,,,
53,90.5,,,,
53.25,90.5,,,,
53.5,90.5,,,,
53.75,90.5,,,,
54,90.5,,,,
54.25,90.5,,,,
54.5,90.5,,,,
54.75,90.5,,,,
55,90.5,,,,
55.25,90.5,,,,
55.5,90.5,,,,
55.75,90.5,,,,
56,90.5,,,,
56.25,90.5,,,,
56.5,90.5,,,,
56.75,90.5,,,,
57,90.5,,,,
57.25,90.75,,,,
57.5,90.75,,,,
57.75,90.75,,,,
58,90.75,,,,
58.25,90.75,,,,
58.5,91,,,,
58.75,91,,,,
59,91,,,,
59.25,91,,,,
59.5,91,,,,
59.75,91,,,,
60,91.25,,,,
60.25,91.25,,,,
60.5,91.25,,,,
60.75,91.25,,,,
61,91.25,,,,
61.25,91.5,,,,
61.5,91.5,,,,
61.75,91.5,,,,
62,91.5,,,,
