Time_sec,Temperature_degC,,,start temp,99.85784314
1,98,,,end temp,6.929245283
1.25,98.25,,,temp at tau,41.11576593
1.5,98.5,,,tau + start,21.18842341
1.75,98.75,,,start time,17.75
2,98.75,,,tau,3.438423407
2.25,99,,,,
2.5,99,,,,
2.75,99,,,,
3,99.25,,,,
3.25,99.25,,,,
3.5,99.5,,,,
3.75,99.5,,,,
4,99.5,,,,
4.25,99.75,,,,
4.5,99.75,,,,
4.75,99.75,,,,
5,100,,,,
5.25,100,,,,
5.5,100,,,,
5.75,100,,,,
6,100,,,,
6.25,100,,,,
6.5,100,,,,
6.75,100.25,,,,
7,100.25,,,,
7.25,100,,,,
7.5,100.25,,,,
7.75,100.25,,,,
8,100.25,,,,
8.25,100.25,,,,
8.5,100.25,,,,
8.75,100.25,,,,
9,100.25,,,,
9.25,100.25,,,,
9.5,100.25,,,,
9.75,100.25,,,,
10,100.25,,,,
10.25,100.25,,,,
10.5,100.25,,,,
10.75,100.25,,,,
11,100.25,,,,
11.25,100.25,,,,
11.501,100.25,,,,
11.75,100.25,,,,
12,100.25,,,,
12.25,100.25,,,,
12.5,100.25,,,,
12.75,100.5,,,,
13,100.25,,,,
13.25,100.5,,,,
13.5,100.25,,,,
13.75,100.25,,,,
14,100.25,,,,
14.25,100.25,,,,
14.5,100.5,,,,
14.75,100.5,,,,
15,100.5,,,,
15.25,100.5,,,,
15.5,100.5,,,,
15.75,100.5,,,,
16,100.5,,,,
16.25,100.5,,,,
16.5,100.5,,,,
16.75,100.5,,,,
17,99.75,,,,
17.25,98.5,,,,
17.5,97.5,,,,
17.75,96.25,,,,
18,94.5,,,,
18.25,92.25,,,,
18.5,85.75,,,,
18.75,80.25,,,,
19,74.75,,,,
19.25,67.75,,,,
19.5,63,,,,
19.75,59,,,,
20,54.25,,,,
20.25,51.25,,,,
20.5,48.5,,,,
20.75,45.25,,,,
21,43,,,,
21.25,40.5,,,,
21.5,38.5,,,,
21.75,37,,,,
22,35,,,,
22.25,33.5,,,,
22.5,32.25,,,,
22.75,30.75,,,,
23,29.75,,,,
23.25,28.75,,,,
23.5,27.25,,,,
23.75,26.5,,,,
24,25.5,,,,
24.25,24.75,,,,
24.5,24,,,,
24.75,23.25,,,,
25,22.5,,,,
25.25,22,,,,
25.5,21.25,,,,
25.75,20.75,,,,
26,20.25,,,,
26.25,19.75,,,,
26.5,19.5,,,,
26.75,18.75,,,,
27,18.5,,,,
27.25,18.25,,,,
27.501,17.75,,,,
27.75,17.25,,,,
28,17,,,,
28.25,16.75,,,,
28.5,16.25,,,,
28.75,16.25,,,,
29,15.75,,,,
29.25,15.5,,,,
29.5,15.25,,,,
29.75,14.75,,,,
30,14.5,,,,
30.25,14,,,,
30.5,13.75,,,,
30.75,13.5,,,,
31,13,,,,
31.25,12.75,,,,
31.5,12.5,,,,
31.75,12.25,,,,
32,12,,,,
32.25,11.75,,,,
32.5,11.5,,,,
32.75,11.25,,,,
33,11,,,,
33.25,10.75,,,,
33.5,10.75,,,,
33.75,10.5,,,,
34,10.25,,,,
34.25,10.25,,,,
34.5,10,,,,
34.75,10,,,,
35,9.75,,,,
35.25,9.75,,,,
35.5,9.75,,,,
35.75,9.5,,,,
36,9.5,,,,
36.25,9.5,,,,
36.5,9.25,,,,
36.75,9.25,,,,
37,9.25,,,,
37.25,9,,,,
37.5,9,,,,
37.75,9,,,,
38,9,,,,
38.25,8.75,,,,
38.5,8.75,,,,
38.75,8.5,,,,
39,8.75,,,,
39.25,8.5,,,,
39.5,8.5,,,,
39.75,8.5,,,,
40,8.5,,,,
40.25,8.5,,,,
40.5,8.25,,,,
40.75,8.25,,,,
41,8.25,,,,
41.25,8.25,,,,
41.5,8.25,,,,
41.75,8.25,,,,
42,8,,,,
42.25,8,,,,
42.5,8,,,,
42.75,8,,,,
43,8,,,,
43.25,7.75,,,,
43.501,8,,,,
43.75,7.75,,,,
44,7.75,,,,
44.25,7.75,,,,
44.5,7.75,,,,
44.75,7.75,,,,
45,7.75,,,,
45.25,7.75,,,,
45.5,7.5,,,,
45.75,7.75,,,,
46,7.5,,,,
46.25,7.5,,,,
46.5,7.5,,,,
46.75,7.5,,,,
47,7.5,,,,
47.25,7.5,,,,
47.5,7.5,,,,
47.75,7.5,,,,
48,7.5,,,,
48.25,7.5,,,,
48.5,7.25,,,,
48.75,7.5,,,,
49,7.25,,,,
49.25,7.25,,,,
49.5,7.25,,,,
49.75,7.25,,,,
50,7.25,,,,
50.25,7.25,,,,
50.5,7.25,,,,
50.75,7.25,,,,
51,7.25,,,,
51.25,7.25,,,,
51.5,7.25,,,,
51.75,7.25,,,,
52,7,,,,
52.25,7,,,,
52.5,7,,,,
52.75,7,,,,
53,7,,,,
53.25,7,,,,
53.5,7,,,,
53.75,7,,,,
54,7,,,,
54.25,7,,,,
54.5,7,,,,
54.75,7,,,,
55,7,,,,
55.25,7,,,,
55.5,6.75,,,,
55.75,7,,,,
56,6.75,,,,
56.25,6.75,,,,
56.5,6.75,,,,
56.75,6.75,,,,
57,6.75,,,,
57.25,6.75,,,,
57.5,6.75,,,,
57.75,6.75,,,,
58,6.75,,,,
58.25,6.75,,,,
58.5,6.75,,,,
58.75,6.75,,,,
59,6.75,,,,
59.25,6.75,,,,
59.501,6.75,,,,
59.75,6.75,,,,
60,6.75,,,,
60.25,6.75,,,,
60.5,6.75,,,,
60.75,6.75,,,,
61,6.75,,,,
61.25,6.75,,,,
61.5,6.75,,,,
61.75,6.75,,,,
62,6.5,,,,
