Time_sec,Temperature_degC,,,start temp,6.49537037
1,7.25,,,end temp,96.34195402
1.25,7.25,,,temp at tau,63.28924304
1.5,7.25,,,tau,0.53561864
1.75,7.25,,,start time,14
2,7.25,,,,
2.25,7.25,,,start tau,14.48884333
2.5,7.25,,,tau old ,0.488843331
2.75,7,,,,
3,7,,,,
3.25,7,,,,
3.5,7,,,,
3.75,6.75,,,,
4,6.75,,,,
4.25,6.75,,,,
4.5,6.75,,,,
4.75,6.75,,,,
5,6.75,,,,
5.25,6.75,,,,
5.5,6.75,,,,
5.75,6.75,,,,
6,6.75,,,,
6.25,6.75,,,,
6.5,6.5,,,,
6.75,6.5,,,,
7,6.5,,,,
7.25,6.5,,,,
7.5,6.5,,,,
7.75,6.5,,,,
8,6.5,,,,
8.25,6.5,,,,
8.5,6.5,,,,
8.75,6.5,,,,
9,6.5,,,,
9.25,6.5,,,,
9.5,6.5,,,,
9.75,6.5,,,,
10,6.5,,,,
10.25,6.5,,,,
10.5,6.5,,,,
10.75,6.25,,,,
11,6.25,,,,
11.25,6.25,,,,
11.5,6.25,,,,
11.75,6.25,,,,
12,6.25,,,,
12.25,6.25,,,,
12.5,6.25,,,,
12.75,6.25,,,,
13,5.75,,,,
13.25,4.75,,,,
13.5,4.75,,,,
13.75,5,,,,
14,5.25,,,,
14.251,5.5,,,,
14.5,66,,,,
14.75,85.25,,,,
15,89.25,,,,
15.25,91.25,,,,
15.5,92,,,,
15.75,93.5,,,,
16,93.75,,,,
16.25,93.75,,,,
16.5,93.25,,,,
16.75,93.5,,,,
17,93.25,,,,
17.25,93,,,,
17.5,93,,,,
17.75,93,,,,
18,93,,,,
18.25,93,,,,
18.5,93.25,,,,
18.75,93.5,,,,
19,93.75,,,,
19.25,94,,,,
19.5,94.5,,,,
19.75,94.75,,,,
20,94.75,,,,
20.25,94.75,,,,
20.5,94.75,,,,
20.75,95,,,,
21,95.25,,,,
21.25,95.5,,,,
21.5,95.25,,,,
21.75,95.25,,,,
22,95.25,,,,
22.25,95.25,,,,
22.5,95,,,,
22.75,95.25,,,,
23,95,,,,
23.25,95,,,,
23.5,95.5,,,,
23.75,95.25,,,,
24,95.25,,,,
24.25,95.5,,,,
24.5,95.75,,,,
24.75,95.5,,,,
25,95.5,,,,
25.25,95.5,,,,
25.5,95.5,,,,
25.75,95.5,,,,
26,95.5,,,,
26.25,95.5,,,,
26.5,96,,,,
26.75,95.75,,,,
27,95.75,,,,
27.25,96,,,,
27.5,96,,,,
27.75,96,,,,
28,96,,,,
28.25,95.75,,,,
28.5,95.75,,,,
28.75,95.75,,,,
29,96,,,,
29.25,96,,,,
29.5,96.25,,,,
29.75,96.25,,,,
30,96.25,,,,
30.251,96.5,,,,
30.5,96.25,,,,
30.75,96.25,,,,
31,96.5,,,,
31.25,96.25,,,,
31.5,96,,,,
31.75,96.25,,,,
32,96.25,,,,
32.25,96.25,,,,
32.5,96,,,,
32.75,96,,,,
33,96,,,,
33.25,96,,,,
33.5,96.25,,,,
33.75,96.25,,,,
34,96.25,,,,
34.25,96.25,,,,
34.5,96.25,,,,
34.75,96.25,,,,
35,96.5,,,,
35.25,96.75,,,,
35.5,97,,,,
35.75,96.75,,,,
36,96.75,,,,
36.25,97.25,,,,
36.5,97.25,,,,
36.75,97,,,,
37,96.75,,,,
37.25,96.5,,,,
37.5,96.25,,,,
37.75,96,,,,
38,95.75,,,,
38.25,96,,,,
38.5,96,,,,
38.75,96.25,,,,
39,96.25,,,,
39.25,96,,,,
39.5,96,,,,
39.75,96,,,,
40,95.75,,,,
40.25,95.75,,,,
40.5,95.75,,,,
40.75,95.75,,,,
41,95.75,,,,
41.25,95.75,,,,
41.5,96,,,,
41.75,96,,,,
42,95.75,,,,
42.25,96,,,,
42.5,96,,,,
42.75,96,,,,
43,96,,,,
43.25,96,,,,
43.5,96,,,,
43.75,96,,,,
44,96,,,,
44.25,96,,,,
44.5,96,,,,
44.75,95.75,,,,
45,96,,,,
45.25,96.25,,,,
45.5,96.25,,,,
45.75,96.5,,,,
46,96.5,,,,
46.251,96.5,,,,
46.5,96.75,,,,
46.75,96.75,,,,
47,96.75,,,,
47.25,96.75,,,,
47.5,97,,,,
47.75,97.5,,,,
48,97.5,,,,
48.25,97.5,,,,
48.5,97.5,,,,
48.75,97.75,,,,
49,97.75,,,,
49.25,97.5,,,,
49.5,97.5,,,,
49.75,97.25,,,,
50,97.25,,,,
50.25,97,,,,
50.5,96.75,,,,
50.75,96.5,,,,
51,96.5,,,,
51.25,96.5,,,,
51.5,96.25,,,,
51.75,96.5,,,,
52,96.5,,,,
52.25,96.5,,,,
52.5,96.25,,,,
52.75,96.25,,,,
53,96.5,,,,
53.25,97,,,,
53.5,97,,,,
53.75,97,,,,
54,97.25,,,,
54.25,97.25,,,,
54.5,97,,,,
54.75,97.25,,,,
55,97,,,,
55.25,97,,,,
55.5,97.25,,,,
55.75,97,,,,
56,97,,,,
56.25,97,,,,
56.5,97,,,,
56.75,97,,,,
57,97,,,,
57.25,97.25,,,,
57.5,97.5,,,,
57.75,97.5,,,,
58,97.75,,,,
58.25,97.75,,,,
58.5,97.75,,,,
58.75,97.75,,,,
59,97.5,,,,
59.25,97.25,,,,
59.5,97,,,,
59.75,97,,,,
60,97,,,,
60.25,97,,,,
60.5,96.75,,,,
60.75,96.75,,,,
61,96.75,,,,
61.25,96.75,,,,
61.5,96.5,,,,
61.75,96.75,,,,
62,96.5,,,,
62.251,96.5,,,,
62.5,96.5,,,,
62.75,96.75,,,,
63,96.75,,,,
