Time_sec,Temperature_degC,,,start temp,5.7
1,5.5,,,end temp,99.80505952
1.25,5.5,,,temp at tau,65.18574281
1.5,5.5,,,tau + start,14.12973831
1.75,5.5,,,start time,13.25
2,5.5,,,tau,0.879738313
2.25,5.5,,,,
2.5,5.75,,,,
2.75,5.5,,,,
3,5.5,,,,
3.25,5.5,,,,
3.5,5.5,,,,
3.75,5.5,,,,
4,5.75,,,,
4.25,5.75,,,,
4.5,5.75,,,,
4.75,5.75,,,,
5,5.75,,,,
5.25,5.75,,,,
5.5,5.75,,,,
5.75,5.5,,,,
6,5.75,,,,
6.25,5.75,,,,
6.5,5.75,,,,
6.75,5.75,,,,
7,5.75,,,,
7.25,5.75,,,,
7.5,5.75,,,,
7.75,5.75,,,,
8,5.75,,,,
8.25,5.75,,,,
8.5,5.75,,,,
8.75,5.75,,,,
9,5.75,,,,
9.25,5.75,,,,
9.5,5.75,,,,
9.75,5.75,,,,
10,5.75,,,,
10.25,5.75,,,,
10.5,5.75,,,,
10.75,5.75,,,,
11,5.75,,,,
11.25,5.75,,,,
11.5,5.75,,,,
11.75,5.75,,,,
12,5.75,,,,
12.25,5.75,,,,
12.5,5.5,,,,
12.75,6,,,,
13,6,,,,
13.25,6,,,,
13.5,12,,,,
13.75,43.25,,,,
14,59.5,,,,
14.251,70.5,,,,
14.5,80.5,,,,
14.75,84.75,,,,
15,87.75,,,,
15.25,90.5,,,,
15.5,92.25,,,,
15.75,94,,,,
16,95,,,,
16.25,96,,,,
16.5,96.75,,,,
16.75,97.25,,,,
17,97.75,,,,
17.25,98,,,,
17.5,98.25,,,,
17.75,98.5,,,,
18,98.5,,,,
18.25,98.75,,,,
18.5,98.75,,,,
18.75,98.75,,,,
19,99,,,,
19.25,99,,,,
19.5,99,,,,
19.75,99,,,,
20,99,,,,
20.25,99,,,,
20.5,99,,,,
20.75,99,,,,
21,99.25,,,,
21.25,99,,,,
21.5,99.25,,,,
21.75,99.25,,,,
22,99.25,,,,
22.25,99.25,,,,
22.5,99.25,,,,
22.75,99.25,,,,
23,99.25,,,,
23.25,99.25,,,,
23.5,99.25,,,,
23.75,99.25,,,,
24,99.5,,,,
24.25,99.5,,,,
24.5,99.5,,,,
24.75,99.5,,,,
25,99.5,,,,
25.25,99.5,,,,
25.5,99.5,,,,
25.75,99.5,,,,
26,99.5,,,,
26.25,99.5,,,,
26.5,99.25,,,,
26.75,99.5,,,,
27,99.5,,,,
27.25,99.5,,,,
27.5,99.5,,,,
27.75,99.5,,,,
28,99.5,,,,
28.25,99.5,,,,
28.5,99.5,,,,
28.75,99.5,,,,
29,99.5,,,,
29.25,99.5,,,,
29.5,99.5,,,,
29.75,99.5,,,,
30,99.5,,,,
30.251,99.5,,,,
30.5,99.5,,,,
30.75,99.5,,,,
31,99.5,,,,
31.25,99.5,,,,
31.5,99.25,,,,
31.75,99.25,,,,
32,99.5,,,,
32.25,99.5,,,,
32.5,99.5,,,,
32.75,99.5,,,,
33,99.5,,,,
33.25,99.5,,,,
33.5,99.5,,,,
33.75,99.5,,,,
34,99.75,,,,
34.25,99.75,,,,
34.5,99.5,,,,
34.75,99.5,,,,
35,99.75,,,,
35.25,99.75,,,,
35.5,99.75,,,,
35.75,99.75,,,,
36,99.75,,,,
36.25,99.75,,,,
36.5,99.75,,,,
36.75,99.75,,,,
37,99.75,,,,
37.25,99.75,,,,
37.5,100,,,,
37.75,100,,,,
38,100,,,,
38.25,100,,,,
38.5,100,,,,
38.75,100,,,,
39,99.75,,,,
39.25,99.75,,,,
39.5,99.75,,,,
39.75,99.75,,,,
40,99.5,,,,
40.25,99.5,,,,
40.5,99.5,,,,
40.75,99.5,,,,
41,99.75,,,,
41.25,99.75,,,,
41.5,99.75,,,,
41.75,99.75,,,,
42,99.75,,,,
42.25,99.75,,,,
42.5,99.75,,,,
42.75,99.75,,,,
43,99.75,,,,
43.25,100,,,,
43.5,100,,,,
43.75,99.75,,,,
44,99.75,,,,
44.25,99.75,,,,
44.5,99.75,,,,
44.75,99.75,,,,
45,99.75,,,,
45.25,99.75,,,,
45.5,99.75,,,,
45.75,100,,,,
46,100,,,,
46.251,100,,,,
46.5,99.75,,,,
46.75,99.75,,,,
47,100,,,,
47.25,99.75,,,,
47.5,99.75,,,,
47.75,99.75,,,,
48,99.75,,,,
48.25,99.75,,,,
48.5,100,,,,
48.75,100,,,,
49,100,,,,
49.25,100,,,,
49.5,99.75,,,,
49.75,100,,,,
50,99.75,,,,
50.25,99.75,,,,
50.5,100,,,,
50.75,100,,,,
51,100,,,,
51.25,99.75,,,,
51.5,100,,,,
51.75,100,,,,
52,100,,,,
52.25,100,,,,
52.5,100,,,,
52.75,100,,,,
53,100,,,,
53.25,100,,,,
53.5,100,,,,
53.75,100,,,,
54,100,,,,
54.25,100,,,,
54.5,100.25,,,,
54.75,100.25,,,,
55,100,,,,
55.25,100,,,,
55.5,100,,,,
55.75,100,,,,
56,100,,,,
56.25,100,,,,
56.5,100,,,,
56.75,100,,,,
57,100,,,,
57.25,100,,,,
57.5,100,,,,
57.75,100,,,,
58,100,,,,
58.25,100,,,,
58.5,100,,,,
58.75,100,,,,
59,100,,,,
59.25,100,,,,
59.5,100,,,,
59.75,100,,,,
60,100,,,,
60.25,100,,,,
60.5,100,,,,
60.75,100,,,,
61,100,,,,
61.25,100,,,,
61.5,100,,,,
61.75,100.25,,,,
62,100.25,,,,
62.251,100,,,,
62.5,100,,,,
62.75,100,,,,
63,100,,,,
63.25,100,,,,
63.5,100,,,,
63.75,100,,,,
64,100,,,,
64.25,100,,,,
64.5,100,,,,
64.75,100.25,,,,
65,100.25,,,,
65.25,100.25,,,,
65.5,100,,,,
65.75,100.25,,,,
