Time_sec,Temperature_degC,,,start temp,9.046296296
1,11,,,end temp,97.94067797
1.25,11,,,temp at tau,65.23826251
1.5,10.75,,,tau + start,17.40802386
1.75,10.5,,,start time,14.75
2,10.5,,,tau,2.658023865
2.25,10.5,,,,
2.5,10.25,,,,
2.75,10.25,,,,
3,10.25,,,,
3.25,10,,,,
3.5,10,,,,
3.75,10,,,,
4,9.75,,,,
4.25,9.75,,,,
4.5,9.75,,,,
4.75,9.5,,,,
5,9.5,,,,
5.25,9.5,,,,
5.5,9.5,,,,
5.75,9.5,,,,
6,9.25,,,,
6.25,9.25,,,,
6.5,9.25,,,,
6.75,9.25,,,,
7,9.25,,,,
7.25,9,,,,
7.5,9,,,,
7.75,9,,,,
8,9,,,,
8.25,9,,,,
8.5,9,,,,
8.75,9,,,,
9,8.75,,,,
9.25,8.75,,,,
9.5,8.75,,,,
9.75,8.75,,,,
10,8.75,,,,
10.25,8.5,,,,
10.5,8.5,,,,
10.75,8.5,,,,
11,8.5,,,,
11.25,8.5,,,,
11.5,8.5,,,,
11.75,8.5,,,,
12,8.25,,,,
12.25,8.5,,,,
12.5,8.25,,,,
12.75,8.25,,,,
13,8.25,,,,
13.25,8.25,,,,
13.5,8.25,,,,
13.75,8,,,,
14,8,,,,
14.251,8,,,,
14.5,8,,,,
14.75,8,,,,
15,9,,,,
15.25,19,,,,
15.5,27.25,,,,
15.75,37,,,,
16,42.5,,,,
16.25,47,,,,
16.5,52.5,,,,
16.75,56.25,,,,
17,59.75,,,,
17.25,63.5,,,,
17.5,66.25,,,,
17.75,68.25,,,,
18,71,,,,
18.25,72.75,,,,
18.5,75,,,,
18.75,76.75,,,,
19,78.25,,,,
19.25,80,,,,
19.5,81.25,,,,
19.75,82.25,,,,
20,83.75,,,,
20.25,84.5,,,,
20.5,85.5,,,,
20.75,86.5,,,,
21,87,,,,
21.25,88,,,,
21.5,88.5,,,,
21.75,89.25,,,,
22,89.75,,,,
22.25,90.25,,,,
22.5,90.75,,,,
22.75,91.25,,,,
23,91.5,,,,
23.25,91.75,,,,
23.5,92.25,,,,
23.75,92.75,,,,
24,93,,,,
24.25,93.5,,,,
24.5,93.75,,,,
24.75,94,,,,
25,94.25,,,,
25.25,94.25,,,,
25.5,94.5,,,,
25.75,94.75,,,,
26,94.75,,,,
26.25,95.25,,,,
26.5,95.25,,,,
26.75,95.75,,,,
27,95.75,,,,
27.25,96,,,,
27.5,96.25,,,,
27.75,96.25,,,,
28,96.5,,,,
28.25,96.5,,,,
28.5,96.75,,,,
28.75,96.75,,,,
29,96.75,,,,
29.25,97,,,,
29.5,97,,,,
29.75,97.25,,,,
30,97.25,,,,
30.251,97.25,,,,
30.5,97.25,,,,
30.75,97.25,,,,
31,97.5,,,,
31.25,97.5,,,,
31.5,97.5,,,,
31.75,97.5,,,,
32,97.5,,,,
32.25,97.5,,,,
32.5,97.5,,,,
32.75,97.75,,,,
33,97.75,,,,
33.25,97.75,,,,
33.5,97.75,,,,
33.75,97.75,,,,
34,97.75,,,,
34.25,98,,,,
34.5,97.75,,,,
34.75,98,,,,
35,98,,,,
35.25,98,,,,
35.5,98,,,,
35.75,98,,,,
36,98,,,,
36.25,97.75,,,,
36.5,98,,,,
36.75,98,,,,
37,97.75,,,,
37.25,97.75,,,,
37.5,97.75,,,,
37.75,97.75,,,,
38,97.75,,,,
38.25,97.75,,,,
38.5,97.75,,,,
38.75,97.75,,,,
39,97.75,,,,
39.25,97.75,,,,
39.5,97.75,,,,
39.75,97.75,,,,
40,97.75,,,,
40.25,97.75,,,,
40.5,97.75,,,,
40.75,98,,,,
41,98,,,,
41.25,98,,,,
41.5,98,,,,
41.75,97.75,,,,
42,98,,,,
42.25,98,,,,
42.5,98,,,,
42.75,98,,,,
43,98,,,,
43.25,98,,,,
43.5,97.75,,,,
43.75,98,,,,
44,98,,,,
44.25,98,,,,
44.5,98,,,,
44.75,98,,,,
45,98,,,,
45.25,98,,,,
45.5,98,,,,
45.75,98,,,,
46,98,,,,
46.251,98,,,,
46.5,98,,,,
46.75,98,,,,
47,98,,,,
47.25,98.25,,,,
47.5,98,,,,
47.75,98,,,,
48,98.25,,,,
48.25,98.25,,,,
48.5,98,,,,
48.75,98.5,,,,
